Country,Cases,Deaths,Year,Month,Day
Lebanon,12,0,2009,6,22
Luxembourg,3,0,2009,6,22
Malaysia,23,0,2009,6,22
Mexico,7624,113,2009,6,22
Morocco *,6,0,2009,6,22
Netherlands,95,0,2009,6,22
New Zealand,258,0,2009,6,22
Nicaragua,189,0,2009,6,22
Norway,17,0,2009,6,22
Oman,3,0,2009,6,22
Panama,330,0,2009,6,22
Papua New Guinea,1,0,2009,6,22
Paraguay,48,0,2009,6,22
Peru,185,0,2009,6,22
Philippines,344,0,2009,6,22
Poland,13,0,2009,6,22
Portugal,6,0,2009,6,22
Qatar,8,0,2009,6,22
Romania,18,0,2009,6,22
Russia,3,0,2009,6,22
Samoa,1,0,2009,6,22
Saudi Arabia,35,0,2009,6,22
Singapore,142,0,2009,6,22
Slovakia,3,0,2009,6,22
Slovenia,1,0,2009,6,22
South Africa,1,0,2009,6,22
Spain,522,0,2009,6,22
Sri Lanka,4,0,2009,6,22
Suriname,11,0,2009,6,22
Sweden,48,0,2009,6,22
Switzerland,31,0,2009,6,22
Thailand,589,0,2009,6,22
Trinidad and Tobago,18,0,2009,6,22
Turkey,20,0,2009,6,22
Ukraine,1,0,2009,6,22
United Arab Emirates,2,0,2009,6,22
United Kingdom,2508,1,2009,6,22
United States of America,21449,87,2009,6,22
Uruguay,36,0,2009,6,22
Venezuela,71,0,2009,6,22
Viet Nam,35,0,2009,6,22
West Bank and Gaza Strip,8,0,2009,6,22
Yemen,5,0,2009,6,22
Argentina,918,4,2009,6,19
Australia,2199,0,2009,6,19
Austria,8,0,2009,6,19
Bahamas,2,0,2009,6,19
Bahrain,12,0,2009,6,19
Barbados,4,0,2009,6,19
Belgium,19,0,2009,6,19
"Bermuda, UKOT",1,0,2009,6,19
Bolivia,11,0,2009,6,19
Brazil,96,0,2009,6,19
"British Virgin Islands, UKOT",1,0,2009,6,19
Bulgaria,2,0,2009,6,19
Canada,4905,12,2009,6,19
"Cayman Islands, UKOT",4,0,2009,6,19
Chile,3125,2,2009,6,19
China,519,0,2009,6,19
Colombia,60,1,2009,6,19
Costa Rica,149,1,2009,6,19
Cuba,15,0,2009,6,19
Cyprus,1,0,2009,6,19
Czech Republic,5,0,2009,6,19
Denmark,22,0,2009,6,19
Dominica,1,0,2009,6,19
Dominican Republic,93,1,2009,6,19
Ecuador,86,0,2009,6,19
Egypt,29,0,2009,6,19
El Salvador,160,0,2009,6,19
Estonia,5,0,2009,6,19
Finland,13,0,2009,6,19
France,133,0,2009,6,19
Germany,238,0,2009,6,19
Greece,31,0,2009,6,19
Guatemala ,153,1,2009,6,19
Honduras,108,0,2009,6,19
Hungary,7,0,2009,6,19
Iceland,4,0,2009,6,19
India,30,0,2009,6,19
Ireland,16,0,2009,6,19
Israel,219,0,2009,6,19
Italy,88,0,2009,6,19
Jamaica,14,0,2009,6,19
Japan,690,0,2009,6,19
