virus_type,date,country,cases,deaths,recovered,week_number,month,year
Coronavirus,2020-02-13,France,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-14,France,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-15,France,1.0,1.0,2.0,7,2,2020
Coronavirus,2020-02-16,France,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-17,France,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-18,France,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-19,France,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-20,France,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-21,France,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-22,France,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-23,France,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-24,France,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-25,France,2.0,0.0,7.0,9,2,2020
Coronavirus,2020-02-26,France,4.0,1.0,0.0,9,2,2020
Coronavirus,2020-02-27,France,20.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-28,France,19.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-29,France,43.0,0.0,1.0,9,2,2020
Coronavirus,2020-03-01,France,30.0,0.0,0.0,9,3,2020
Coronavirus,2020-03-02,France,61.0,1.0,0.0,10,3,2020
Coronavirus,2020-03-03,France,13.0,1.0,0.0,10,3,2020
Coronavirus,2020-02-26,Georgia,1.0,0.0,0.0,9,2,2020
